Campaign Name,Reach,Impression,Cost,CPM,Click,CTR,CPC,2-Second Video Views,6-Second Video Views,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Views at 100%,Button Click,Add to Cart,Button Click (Form),Form Submission
BRÖ - BONSOIR,129005,167207,100.0,0.6,1556,0.93,0.06,44688,8213,5585,2088,1238,672,0,0,0,0
VOLODIA - Campagne Album,108176,139715,100.0,0.72,1362,0.97,0.07,36011,6051,34180,7779,4851,2367,0,0,0,0
